== L1: in-engine tests (headless godot, one boot) ==
[BUILD] HEAD is fe00a1cd, assembly was built from 68e9012018d44f4095727fda23a13776dec1f89e -- forcing a cold compile
[TEST] door.breaks_down                           | PASS | 0.10s (4 checks)
[TEST] door.hinge_lies_on_its_leaf                | PASS | 0.00s (15 checks)
[TEST] door.locked_refuses                        | PASS | 0.02s (7 checks)
[TEST] door.placed_wooden_door_swings_90          | PASS | 0.92s (13 checks)
[TEST] door.player_locks_own                      | PASS | 0.28s (8 checks)
[TEST] door.shot_breaks_down                      | PASS | 0.92s (2 checks)
[TEST] door.solid_only_at_endpoints               | PASS | 4.14s (12 checks)
[TEST] door.swings_and_blocks                     | PASS | 0.95s (7 checks)
[TEST] editor.every_catalog_entry_previews        | PASS | 0.73s (4 checks)
[TEST] editor.grid_snap_follows_the_drag_axis     | PASS | 0.00s (8 checks)
[TEST] editor.map_names_are_safe_paths            | PASS | 0.00s (35 checks)
[TEST] editor.palette_preview_spins_in_place      | PASS | 0.06s (4 checks)
[TEST] editor.playtest_spawns_under_the_camera    | PASS | 0.05s (5 checks)
[TEST] editor.road_draw_junctions                 | PASS | 0.03s (11 checks)
[TEST] editor.road_draw_nodes                     | PASS | 0.03s (10 checks)
[TEST] editor.road_draw_tool                      | PASS | 0.01s (5 checks)
[TEST] editor.road_graph_persist                  | PASS | 0.07s (13 checks)
[TEST] editor.road_panel_buttons                  | PASS | 0.04s (8 checks)
[TEST] editor.road_prop_connectors                | PASS | 0.01s (9 checks)
[TEST] editor.road_spline_snap                    | PASS | 0.01s (6 checks)
[TEST] editor.smart_props                         | PASS | 0.62s (20 checks)
[TEST] editor.undo_terrain_and_river              | PASS | 18.73s (26 checks)
[TEST] equip.dispatch_coverage                    | PASS | 0.52s (41 checks)
[TEST] farm.crops_loop                            | PASS | 0.00s (4 checks)
[TEST] farm.grow_harvest                          | PASS | 0.00s (6 checks)
[TEST] farm.second_yield_roll                     | PASS | 0.00s (5 checks)
[TEST] fluid.art_placements_and_flow              | PASS | 3.82s (217 checks)
[TEST] fluid.container_drink_modes                | PASS | 0.13s (16 checks)
[TEST] fluid.fill_command                         | PASS | 0.09s (23 checks)
[TEST] fluid.idle_posttick_group                  | PASS | 0.01s (9 checks)
[TEST] fluid.pickup_refunds_over_the_wire         | PASS | 2.42s (14 checks)
[TEST] fluid.place_consumes_over_the_wire         | PASS | 0.92s (14 checks)
[TEST] fluid.pumpjack                             | PASS | 0.10s (19 checks)
[TEST] fluid.sink_prop_identity                   | PASS | 0.00s (5 checks)
[TEST] fluid.sink_spout_anchor                    | PASS | 0.01s (16 checks)
[TEST] fluid.sink_water_input                     | PASS | 0.78s (13 checks)
[TEST] fluid.water_mains_gate                     | PASS | 0.40s (5 checks)
[TEST] fluid.water_mains_shape                    | PASS | 0.04s (13 checks)
[TEST] fluid.well_source                          | PASS | 0.04s (15 checks)
[TEST] foliage.authoring_format                   | PASS | 1.36s (17 checks)
[TEST] foliage.paint_brush                        | PASS | 0.90s (9 checks)
[TEST] food.spoilage                              | PASS | 0.09s (33 checks)
[TEST] forage.plants                              | PASS | 0.19s (46 checks)
[TEST] gfx.chromatic                              | PASS | 0.04s (8 checks)
[TEST] graphics.vertex_shading                    | PASS | 0.26s (7 checks)
[TEST] gun.action_types                           | PASS | 0.08s (9 checks)
[TEST] gun.attachment_fit                         | PASS | 0.10s (96 checks)
[TEST] gun.attachment_item_behaves                | PASS | 0.31s (12 checks)
[TEST] gun.avenger_usp_45                         | PASS | 0.11s (34 checks)
[TEST] gun.ballistics_tuning                      | PASS | 0.00s (20 checks)
[TEST] gun.caliber_ballistics                     | PASS | 0.01s (184 checks)
[TEST] gun.caliber_field                          | PASS | 0.23s (81 checks)
[TEST] gun.chamber_sweep                          | PASS | 0.02s (19 checks)
[TEST] gun.damage_falloff                         | PASS | 4.08s (15 checks)
[TEST] gun.description_names_caliber              | PASS | 0.11s (11 checks)
[TEST] gun.drum_mag_capacity                      | PASS | 0.45s (9 checks)
[TEST] gun.inf_ammo                               | PASS | 5.16s (8 checks)
[TEST] gun.mag_reload                             | PASS | 0.10s (78 checks)
[TEST] gun.magazine_reality                       | PASS | 0.11s (23 checks)
[TEST] gun.playground_dummy                       | PASS | 3.67s (17 checks)
[TEST] gun.recoil_camera                          | PASS | 10.18s (7 checks)
[TEST] gun.recoil_pattern                         | PASS | 0.00s (11 checks)
[TEST] gun.reequip_keeps_ammo                     | PASS | 0.44s (13 checks)
[TEST] gun.reequip_keeps_attachments              | PASS | 0.34s (10 checks)
[TEST] gun.scope_steady                           | PASS | 10.04s (8 checks)
[TEST] gun.scope_sway                             | PASS | 21.05s (12 checks)
[TEST] gun.suppression                            | PASS | 5.61s (20 checks)
[TEST] gun.swap_mid_reload                        | PASS | 6.03s (13 checks)
[TEST] gun.table_wiring                           | PASS | 0.32s (12 checks)
[TEST] gun.visual_table_lossless                  | PASS | 0.00s (26 checks)
[TEST] gun.wallbang                               | PASS | 10.28s (8 checks)
[TEST] inv.audio_routing                          | PASS | 0.17s (11 checks)
[TEST] inv.consume_hold_flow                      | PASS | 0.11s (22 checks)
[TEST] inv.container_equip_and_autodrink          | PASS | 0.16s (11 checks)
[TEST] inv.drag_gesture_moves_item                | PASS | 0.59s (20 checks)
[TEST] inv.drag_rmb_cancel                        | PASS | 0.13s (10 checks)
[TEST] inv.drag_swap_crosspage                    | PASS | 0.08s (11 checks)
[TEST] inv.equip_closes_ctrlgrab                  | PASS | 0.13s (11 checks)
[TEST] inv.hold_transfer                          | PASS | 2.63s (18 checks)
[TEST] inv.paperdoll_spin                         | PASS | 0.12s (4 checks)
[TEST] inv.quickaction_rotation                   | PASS | 0.13s (5 checks)
[TEST] inv.weapon_slots                           | PASS | 0.12s (4 checks)
[TEST] inv.wheel_scrolls_over_buttons             | PASS | 0.11s (5 checks)
[TEST] inventory.hand_actions                     | PASS | 0.00s (10 checks)
[TEST] inventory.slot_rules                       | PASS | 0.62s (23 checks)
[TEST] item.nearby_los                            | PASS | 0.10s (5 checks)
[TEST] item.nearby_open_path                      | PASS | 0.32s (4 checks)
[TEST] item.trimesh_no_tunnel                     | PASS | 1.06s (2 checks)
[TEST] items.walkie_tool                          | PASS | 0.33s (32 checks)
[TEST] ladder.attach_rules                        | PASS | 0.08s (35 checks)
[TEST] ladder.climb_end_to_end                    | PASS | 1.21s (6 checks)
[TEST] ladder.real_world_repro                    | PASS | 13.09s (7 checks)
[TEST] ladder.top_and_radius_probe                | PASS | 0.00s (1 checks)
[TEST] ladder.top_exit                            | PASS | 4.07s (3 checks)
[TEST] ladder.top_onto_roof                       | PASS | 5.12s (6 checks)
[TEST] light.shadow_budget_caps_and_picks         | PASS | 0.12s (9 checks)
[TEST] light.shadow_budget_charges_by_face        | PASS | 0.10s (8 checks)
[TEST] load.cover_outlasts_shader_warm            | PASS | 2.28s (7 checks)
[TEST] log.buffer_independent_of_stdout           | PASS | 0.00s (9 checks)
[TEST] look.interact_origin                       | PASS | 5.22s (10 checks)
[TEST] look.single_focus                          | PASS | 0.24s (17 checks)
[TEST] melee.chainsaw                             | PASS | 0.24s (13 checks)
[TEST] melee.held_flashlight                      | PASS | 0.68s (24 checks)
[TEST] mp.attachments_replicate                   | PASS | 0.58s (6 checks)
[TEST] mp.deployable_condition                    | PASS | 0.31s (11 checks)
[TEST] mp.puppet_lights                           | PASS | 0.78s (4 checks)
[TEST] net.arena_match_gate                       | PASS | 0.38s (6 checks)
[TEST] net.attach_no_dupe                         | PASS | 2.22s (11 checks)
[TEST] net.bed_break_clears_spawn                 | PASS | 0.18s (7 checks)
[TEST] net.bed_respawn_roundtrip                  | PASS | 3.60s (8 checks)
[TEST] net.ceiling_pendant_seats                  | PASS | 1.16s (11 checks)
[TEST] net.client_world_mode                      | PASS | 0.02s (6 checks)
[TEST] net.client_world_views                     | PASS | 3.72s (19 checks)
[TEST] net.clientauth_body_follows                | PASS | 4.92s (16 checks)
[TEST] net.deadzone_roundtrip                     | PASS | 7.97s (7 checks)
[TEST] net.death_drops_items_visible_to_others    | PASS | 5.02s (25 checks)
[TEST] net.dedicated_boot                         | PASS | 0.76s (10 checks)
[TEST] net.dedicated_builds_interactables         | PASS | 0.08s (8 checks)
